"","...1","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","trt1_name","trt1_details","trt2_name","trt2_details","trt2_group1","trt2_group2","crop_type","system_group1","system_group2","mgmt_intention","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1745",1877,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",504,3,"NA","NA",471,"0.05","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-6.55,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1746",1878,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",504,4,"NA","NA",465,"0.05","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-7.74,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1747",1879,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",601,3,"NA","NA",471,"0.05","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-21.63,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1748",1880,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",601,4,"NA","NA",465,"0.05","monocrop","dolichos","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-22.63,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1749",1881,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",0,"NA","NA",143,3,"NA","NA",301,"0.05","monocrop","potato","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",110.49,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1750",1882,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",0,"NA","NA",143,4,"NA","NA",329,"0.05","monocrop","potato","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",130.07,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1751",1883,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",1,"NA","NA",342,3,"NA","NA",301,"ns","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-11.99,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1752",1884,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",1,"NA","NA",342,4,"NA","NA",329,"ns","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-3.8,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1753",1885,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",2,"NA","NA",378,3,"NA","NA",301,"ns","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-20.37,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1754",1886,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","light organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",2,"NA","NA",378,4,"NA","NA",329,"ns","monocrop","dolichos","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-12.96,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1755",1887,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",334,3,"NA","NA",512,"0.05","monocrop","potato","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",53.29,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1756",1888,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",334,4,"NA","NA",501,"0.05","monocrop","potato","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",50,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1757",1889,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",605,3,"NA","NA",512,"0.05","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-15.37,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1758",1890,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",605,4,"NA","NA",501,"0.05","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-17.19,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1759",1891,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",673,3,"NA","NA",512,"0.05","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-23.92,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1760",1892,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",673,4,"NA","NA",501,"0.05","monocrop","dolichos","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-25.56,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1761",1893,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 10-20 cm depth","10-20 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",245,3,"NA","NA",388,"0.05","monocrop","potato","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",58.37,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1762",1894,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 10-20 cm depth","10-20 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",245,4,"NA","NA",399,"0.05","monocrop","potato","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",62.86,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1763",1895,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 10-20 cm depth","10-20 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",410,3,"NA","NA",388,"0.05","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-5.37,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1764",1896,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 10-20 cm depth","10-20 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",410,4,"NA","NA",399,"0.05","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-2.68,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1765",1897,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 10-20 cm depth","10-20 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",482,3,"NA","NA",388,"0.05","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-19.5,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1766",1898,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 10-20 cm depth","10-20 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",482,4,"NA","NA",399,"0.05","monocrop","dolichos","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-17.22,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1767",1899,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",108,3,"NA","NA",208,"0.05","monocrop","potato","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",92.59,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1768",1900,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",108,4,"NA","NA",234,"0.05","monocrop","potato","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",116.67,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1769",1901,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",267,3,"NA","NA",208,"0.05","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-22.1,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1770",1902,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",267,4,"NA","NA",234,"0.05","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-12.36,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1771",1903,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",279,3,"NA","NA",208,"0.05","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-25.45,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1772",1904,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","20-30 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",279,4,"NA","NA",234,"0.05","monocrop","dolichos","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-16.13,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1773",1905,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",0,"NA","NA",101,3,"NA","NA",169,"0.05","monocrop","potato","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",67.33,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1774",1906,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",0,"NA","NA",101,4,"NA","NA",186,"0.05","monocrop","potato","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",84.16,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1775",1907,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",1,"NA","NA",187,3,"NA","NA",169,"ns","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-9.63,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1776",1908,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",1,"NA","NA",187,4,"NA","NA",186,"ns","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.53,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1777",1909,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",2,"NA","NA",199,3,"NA","NA",169,"ns","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-15.08,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1778",1910,"Continuous cover",4022,"2016-3","3","3","Climate Mitigation","Carbon Storage","Soil Organic Carbon","dissolved organic matter fraction, 20-30 cm depth","30-40 cm","0-60 cm","mg C/kg","Tukeys","mean",2,"NA","NA",199,4,"NA","NA",186,"ns","monocrop","dolichos","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-6.53,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1779",1935,"Continuous cover",4022,"2016-3","3","1","Climate Mitigation","Carbon Storage","Soil Organic Carbon","heavy organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",549,3,"NA","NA",546,"ns","monocrop","potato","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.55,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1780",1936,"Continuous cover",4022,"2016-3","3","1","Climate Mitigation","Carbon Storage","Soil Organic Carbon","heavy organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",0,"NA","NA",549,4,"NA","NA",525,"ns","monocrop","potato","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-4.37,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1781",1937,"Continuous cover",4022,"2016-3","3","1","Climate Mitigation","Carbon Storage","Soil Organic Carbon","heavy organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",551,3,"NA","NA",546,"ns","monocrop","bean","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-0.91,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1782",1938,"Continuous cover",4022,"2016-3","3","1","Climate Mitigation","Carbon Storage","Soil Organic Carbon","heavy organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",1,"NA","NA",551,4,"NA","NA",525,"ns","monocrop","bean","intercrop","potato;dolichos",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",-4.72,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
"1783",1939,"Continuous cover",4022,"2016-3","3","1","Climate Mitigation","Carbon Storage","Soil Organic Carbon","heavy organic matter fraction, 0-10 cm depth","0-10 cm","0-30 cm","mg C/kg","Tukeys","mean",2,"NA","NA",520,3,"NA","NA",546,"ns","monocrop","dolichos","intercrop","potato;bean",2,"Legume & Non-Legume","Vegetable;Bean","Uniform","Rainfed","Climate Mitigation;Soil Health","Positive","assumed societal benefit","Other Soil Properties","Chemical Properties","Dependent on other factors","assumed societal benefit",5,"Climate Mitigation | Carbon Storage | Soil Organic Carbon ; Other Soil Properties | Chemical Properties | Soil Organic Carbon","Positive | assumed societal benefit ; Dependent on other factors | assumed societal benefit"
