,Review,group_level1,group_level2,group_level3,norm_interp2,norm_interp3,group_level1_alt,group_level2_alt,norm_interp2_alt,norm_interp3_alt
619,Nutrient Amendment,Pests,Crop Damage,Damage From Leaf Spot,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
267,Continuous Cover,Pests,Crop Damage,Damage From Nematodes,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
620,Nutrient Amendment,Pests,Crop Damage,Damage From Nematodes,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
268,Continuous Cover,Pests,Crop Damage,Damage From Pod-Borer,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
621,Nutrient Amendment,Pests,Crop Damage,Damage From Pod-Borer,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
269,Continuous Cover,Pests,Crop Damage,Damage From Sorghum Shootfly,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
622,Nutrient Amendment,Pests,Crop Damage,Damage From Sorghum Shootfly,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
270,Continuous Cover,Pests,Crop Damage,Damage From Stem-Borer,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
623,Nutrient Amendment,Pests,Crop Damage,Damage From Stem-Borer,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
470,Nutrient Amendment,Pests,Crop Damage,Damage From Termites,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
271,Continuous Cover,Pests,Invertebrate Pests,Aphids,Negative,assumed societal harm,NA,NA,NA,NA
624,Nutrient Amendment,Pests,Invertebrate Pests,Aphids,Negative,assumed societal harm,NA,NA,NA,NA
272,Continuous Cover,Pests,Invertebrate Pests,Bean Leaf Beetles On Soybeans,Negative,assumed societal harm,NA,NA,NA,NA
625,Nutrient Amendment,Pests,Invertebrate Pests,Bean Leaf Beetles On Soybeans,Negative,assumed societal harm,NA,NA,NA,NA
273,Continuous Cover,Pests,Invertebrate Pests,Corn Borer,Negative,assumed societal harm,NA,NA,NA,NA
274,Tillage,Pests,Invertebrate Pests,Corn Borer,Negative,assumed societal harm,NA,NA,NA,NA
626,Nutrient Amendment,Pests,Invertebrate Pests,Corn Borer,Negative,assumed societal harm,NA,NA,NA,NA
275,Continuous Cover,Pests,Invertebrate Pests,Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
276,Tillage,Pests,Invertebrate Pests,Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
627,Nutrient Amendment,Pests,Invertebrate Pests,Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
277,Continuous Cover,Pests,Invertebrate Pests,General Pests,Negative,assumed societal harm,NA,NA,NA,NA
278,Tillage,Pests,Invertebrate Pests,General Pests,Negative,assumed societal harm,NA,NA,NA,NA
628,Nutrient Amendment,Pests,Invertebrate Pests,General Pests,Negative,assumed societal harm,NA,NA,NA,NA
279,Continuous Cover,Pests,Invertebrate Pests,Northern Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
629,Nutrient Amendment,Pests,Invertebrate Pests,Northern Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
280,Continuous Cover,Pests,Invertebrate Pests,Pod-Borers,Negative,assumed societal harm,NA,NA,NA,NA
630,Nutrient Amendment,Pests,Invertebrate Pests,Pod-Borers,Negative,assumed societal harm,NA,NA,NA,NA
281,Continuous Cover,Pests,Invertebrate Pests,Seedcorn Maggot,Negative,assumed societal harm,NA,NA,NA,NA
282,Tillage,Pests,Invertebrate Pests,Seedcorn Maggot,Negative,assumed societal harm,NA,NA,NA,NA
631,Nutrient Amendment,Pests,Invertebrate Pests,Seedcorn Maggot,Negative,assumed societal harm,NA,NA,NA,NA
283,Continuous Cover,Pests,Invertebrate Pests,Soybean Aphid,Negative,assumed societal harm,NA,NA,NA,NA
284,Tillage,Pests,Invertebrate Pests,Soybean Aphid,Negative,assumed societal harm,NA,NA,NA,NA
632,Nutrient Amendment,Pests,Invertebrate Pests,Soybean Aphid,Negative,assumed societal harm,NA,NA,NA,NA
285,Continuous Cover,Pests,Invertebrate Pests,Soybean Aphids (Cumulative Aphid Days),Negative,assumed societal harm,NA,NA,NA,NA
633,Nutrient Amendment,Pests,Invertebrate Pests,Soybean Aphids (Cumulative Aphid Days),Negative,assumed societal harm,NA,NA,NA,NA
286,Continuous Cover,Pests,Invertebrate Pests,Stem-Borers,Negative,assumed societal harm,NA,NA,NA,NA
634,Nutrient Amendment,Pests,Invertebrate Pests,Stem-Borers,Negative,assumed societal harm,NA,NA,NA,NA
287,Continuous Cover,Pests,Invertebrate Pests,Termites,Negative,assumed societal harm,NA,NA,NA,NA
288,Tillage,Pests,Invertebrate Pests,Termites,Negative,assumed societal harm,NA,NA,NA,NA
635,Nutrient Amendment,Pests,Invertebrate Pests,Termites,Negative,assumed societal harm,NA,NA,NA,NA
289,Continuous Cover,Pests,Invertebrate Pests,Thrips,Negative,assumed societal harm,NA,NA,NA,NA
636,Nutrient Amendment,Pests,Invertebrate Pests,Thrips,Negative,assumed societal harm,NA,NA,NA,NA
290,Continuous Cover,Pests,Invertebrate Pests,Western Corn Rootworm,Negative,dependent on other factors,NA,NA,NA,NA
291,Continuous Cover,Pests,Invertebrate Pests,Western Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
637,Nutrient Amendment,Pests,Invertebrate Pests,Western Corn Rootworm,Negative,dependent on other factors,NA,NA,NA,NA
638,Nutrient Amendment,Pests,Invertebrate Pests,Western Corn Rootworm,Negative,assumed societal harm,NA,NA,NA,NA
292,Continuous Cover,Pests,Natural Enemies,Invertebrate Predators In Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
639,Nutrient Amendment,Pests,Natural Enemies,Invertebrate Predators In Soybean,Positive,assumed societal benefit,NA,NA,NA,NA
293,Continuous Cover,Pests,Nematodes,Herbivores,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
294,Tillage,Pests,Nematodes,Herbivores,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
424,Nutrient Amendment,Pests,Nematodes,Herbivores,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
295,Continuous Cover,Pests,Nematodes,Nematode Community,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
296,Tillage,Pests,Nematodes,Nematode Community,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
640,Nutrient Amendment,Pests,Nematodes,Nematode Community,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
297,Continuous Cover,Pests,Nematodes,Nematode Community Activity,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
427,Nutrient Amendment,Pests,Nematodes,Nematode Community Activity,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
298,Continuous Cover,Pests,Nematodes,Nematode Community Diversity,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
425,Nutrient Amendment,Pests,Nematodes,Nematode Community Diversity,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
299,Continuous Cover,Pests,Nematodes,Nematode Community Maturity Index,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
426,Nutrient Amendment,Pests,Nematodes,Nematode Community Maturity Index,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,dependent on other factors
300,Continuous Cover,Pests,Nematodes,Plant-Parasitic,Negative,assumed societal harm,NA,NA,NA,NA
301,Tillage,Pests,Nematodes,Plant-Parasitic,Negative,assumed societal harm,NA,NA,NA,NA
641,Nutrient Amendment,Pests,Nematodes,Plant-Parasitic,Negative,assumed societal harm,NA,NA,NA,NA
302,Continuous Cover,Pests,Nematodes,Soybean Cyst Nematode,Negative,assumed societal harm,NA,NA,NA,NA
303,Tillage,Pests,Nematodes,Soybean Cyst Nematode,Negative,assumed societal harm,NA,NA,NA,NA
642,Nutrient Amendment,Pests,Nematodes,Soybean Cyst Nematode,Negative,assumed societal harm,NA,NA,NA,NA
304,Continuous Cover,Pests,Non-Predators & Pests,Earthworms,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
305,Tillage,Pests,Non-Predators & Pests,Earthworms,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
643,Nutrient Amendment,Pests,Non-Predators & Pests,Earthworms,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
306,Continuous Cover,Pests,Non-Predators & Pests,Invertebrates,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
307,Tillage,Pests,Non-Predators & Pests,Invertebrates,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
644,Nutrient Amendment,Pests,Non-Predators & Pests,Invertebrates,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
308,Continuous Cover,Pests,Non-Predators & Pests,Nematodes,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
309,Tillage,Pests,Non-Predators & Pests,Nematodes,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
645,Nutrient Amendment,Pests,Non-Predators & Pests,Nematodes,Dependent on other factors,dependent on other factors,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
310,Continuous Cover,Pests,Pathogens,Bean Pod Mottle Virus,Negative,assumed societal harm,NA,NA,NA,NA
646,Nutrient Amendment,Pests,Pathogens,Bean Pod Mottle Virus,Negative,assumed societal harm,NA,NA,NA,NA
311,Continuous Cover,Pests,Pathogens,Corn Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
312,Tillage,Pests,Pathogens,Corn Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
647,Nutrient Amendment,Pests,Pathogens,Corn Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
313,Continuous Cover,Pests,Pathogens,Corn Leaf Tissue Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
648,Nutrient Amendment,Pests,Pathogens,Corn Leaf Tissue Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
314,Continuous Cover,Pests,Pathogens,Corn Root Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
649,Nutrient Amendment,Pests,Pathogens,Corn Root Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
315,Continuous Cover,Pests,Pathogens,Crop Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
650,Nutrient Amendment,Pests,Pathogens,Crop Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
316,Continuous Cover,Pests,Pathogens,Crop Mycotoxin Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
651,Nutrient Amendment,Pests,Pathogens,Crop Mycotoxin Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
317,Continuous Cover,Pests,Pathogens,Pathogens,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
652,Nutrient Amendment,Pests,Pathogens,Pathogens,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
318,Continuous Cover,Pests,Pathogens,Pathogens In Soil Under Soybean,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
653,Nutrient Amendment,Pests,Pathogens,Pathogens In Soil Under Soybean,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
319,Continuous Cover,Pests,Pathogens,Soybean (Infection Of Leaf Tissue),Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
654,Nutrient Amendment,Pests,Pathogens,Soybean (Infection Of Leaf Tissue),Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
320,Continuous Cover,Pests,Pathogens,Soybean Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
321,Tillage,Pests,Pathogens,Soybean Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
655,Nutrient Amendment,Pests,Pathogens,Soybean Infections,Negative,assumed societal harm,Crop Yields,Crop Damage,Negative,assumed societal harm
322,Continuous Cover,Pests,Pest Natural Enemies,Aboveground Invertebrates,Positive,assumed societal benefit,NA,NA,NA,NA
656,Nutrient Amendment,Pests,Pest Natural Enemies,Aboveground Invertebrates,Positive,assumed societal benefit,NA,NA,NA,NA
323,Continuous Cover,Pests,Pest Natural Enemies,Invertebrate Foliar Community Diversity,Positive,assumed societal benefit,NA,NA,NA,NA
657,Nutrient Amendment,Pests,Pest Natural Enemies,Invertebrate Foliar Community Diversity,Positive,assumed societal benefit,NA,NA,NA,NA
324,Continuous Cover,Pests,Pest Natural Enemies,Invertebrate Non-Predator & Pests,Positive,assumed societal benefit,NA,NA,NA,NA
658,Nutrient Amendment,Pests,Pest Natural Enemies,Invertebrate Non-Predator & Pests,Positive,assumed societal benefit,NA,NA,NA,NA
325,Continuous Cover,Pests,Pest Natural Enemies,Invertebrate Predator Activity,Positive,assumed societal benefit,NA,NA,NA,NA
659,Nutrient Amendment,Pests,Pest Natural Enemies,Invertebrate Predator Activity,Positive,assumed societal benefit,NA,NA,NA,NA
326,Continuous Cover,Pests,Pest Natural Enemies,Invertebrate Predators,Positive,assumed societal benefit,NA,NA,NA,NA
660,Nutrient Amendment,Pests,Pest Natural Enemies,Invertebrate Predators,Positive,assumed societal benefit,NA,NA,NA,NA
327,Continuous Cover,Pests,Pest Natural Enemies,Invertebrate Soil Community,Positive,assumed societal benefit,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
661,Nutrient Amendment,Pests,Pest Natural Enemies,Invertebrate Soil Community,Positive,assumed societal benefit,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
328,Continuous Cover,Pests,Pest Natural Enemies,Invertebrate Soil Community Diversity,Positive,assumed societal benefit,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
662,Nutrient Amendment,Pests,Pest Natural Enemies,Invertebrate Soil Community Diversity,Positive,assumed societal benefit,Other Soil Properties,Biotic Factors,Positive,assumed societal benefit
329,Continuous Cover,Pests,Pest Natural Enemies,Natural Enemies,Positive,assumed societal benefit,NA,NA,NA,NA
330,Tillage,Pests,Pest Natural Enemies,Natural Enemies,Positive,assumed societal benefit,NA,NA,NA,NA
663,Nutrient Amendment,Pests,Pest Natural Enemies,Natural Enemies,Positive,assumed societal benefit,NA,NA,NA,NA
331,Continuous Cover,Pests,Pest Natural Enemies,Natural Enemy Activity,Positive,assumed societal benefit,NA,NA,NA,NA
332,Tillage,Pests,Pest Natural Enemies,Natural Enemy Activity,Positive,assumed societal benefit,NA,NA,NA,NA
664,Nutrient Amendment,Pests,Pest Natural Enemies,Natural Enemy Activity,Positive,assumed societal benefit,NA,NA,NA,NA
333,Continuous Cover,Pests,Weeds,Amaranthus,Negative,assumed societal harm,NA,NA,NA,NA
334,Tillage,Pests,Weeds,Amaranthus,Negative,assumed societal harm,NA,NA,NA,NA
665,Nutrient Amendment,Pests,Weeds,Amaranthus,Negative,assumed societal harm,NA,NA,NA,NA
335,Continuous Cover,Pests,Weeds,Broadleafs,Negative,assumed societal harm,NA,NA,NA,NA
336,Tillage,Pests,Weeds,Broadleafs,Negative,assumed societal harm,NA,NA,NA,NA
666,Nutrient Amendment,Pests,Weeds,Broadleafs,Negative,assumed societal harm,NA,NA,NA,NA
337,Continuous Cover,Pests,Weeds,Broadleaves,Negative,assumed societal harm,NA,NA,NA,NA
338,Tillage,Pests,Weeds,Broadleaves,Negative,assumed societal harm,NA,NA,NA,NA
667,Nutrient Amendment,Pests,Weeds,Broadleaves,Negative,assumed societal harm,NA,NA,NA,NA
339,Continuous Cover,Pests,Weeds,Cocklebur,Negative,assumed societal harm,NA,NA,NA,NA
668,Nutrient Amendment,Pests,Weeds,Cocklebur,Negative,assumed societal harm,NA,NA,NA,NA
340,Continuous Cover,Pests,Weeds,Dead Nettle,Negative,assumed societal harm,NA,NA,NA,NA
669,Nutrient Amendment,Pests,Weeds,Dead Nettle,Negative,assumed societal harm,NA,NA,NA,NA
341,Continuous Cover,Pests,Weeds,Fall Panicum,Negative,assumed societal harm,NA,NA,NA,NA
342,Tillage,Pests,Weeds,Fall Panicum,Negative,assumed societal harm,NA,NA,NA,NA
670,Nutrient Amendment,Pests,Weeds,Fall Panicum,Negative,assumed societal harm,NA,NA,NA,NA
343,Continuous Cover,Pests,Weeds,Foxtail,Negative,assumed societal harm,NA,NA,NA,NA
671,Nutrient Amendment,Pests,Weeds,Foxtail,Negative,assumed societal harm,NA,NA,NA,NA
344,Continuous Cover,Pests,Weeds,Grasses,Negative,assumed societal harm,NA,NA,NA,NA
345,Tillage,Pests,Weeds,Grasses,Negative,assumed societal harm,NA,NA,NA,NA
672,Nutrient Amendment,Pests,Weeds,Grasses,Negative,assumed societal harm,NA,NA,NA,NA
346,Continuous Cover,Pests,Weeds,Lambsquarters,Negative,assumed societal harm,NA,NA,NA,NA
347,Tillage,Pests,Weeds,Lambsquarters,Negative,assumed societal harm,NA,NA,NA,NA
673,Nutrient Amendment,Pests,Weeds,Lambsquarters,Negative,assumed societal harm,NA,NA,NA,NA
348,Continuous Cover,Pests,Weeds,Pigweed,Negative,assumed societal harm,NA,NA,NA,NA
674,Nutrient Amendment,Pests,Weeds,Pigweed,Negative,assumed societal harm,NA,NA,NA,NA
349,Continuous Cover,Pests,Weeds,Striga (#),Negative,assumed societal harm,NA,NA,NA,NA
675,Nutrient Amendment,Pests,Weeds,Striga (#),Negative,assumed societal harm,NA,NA,NA,NA
350,Continuous Cover,Pests,Weeds,Velvetleaf,Negative,assumed societal harm,NA,NA,NA,NA
351,Tillage,Pests,Weeds,Velvetleaf,Negative,assumed societal harm,NA,NA,NA,NA
676,Nutrient Amendment,Pests,Weeds,Velvetleaf,Negative,assumed societal harm,NA,NA,NA,NA
352,Continuous Cover,Pests,Weeds,Waterhemp,Negative,assumed societal harm,NA,NA,NA,NA
677,Nutrient Amendment,Pests,Weeds,Waterhemp,Negative,assumed societal harm,NA,NA,NA,NA
353,Continuous Cover,Pests,Weeds,Waterhemp Control,Negative,assumed societal benefit,NA,NA,NA,NA
678,Nutrient Amendment,Pests,Weeds,Waterhemp Control,Negative,assumed societal benefit,NA,NA,NA,NA
354,Continuous Cover,Pests,Weeds,Weed Biomass,Negative,assumed societal harm,NA,NA,NA,NA
679,Nutrient Amendment,Pests,Weeds,Weed Biomass,Negative,assumed societal harm,NA,NA,NA,NA
355,Continuous Cover,Pests,Weeds,Weed Community,Negative,dependent on other factors,NA,NA,NA,NA
356,Tillage,Pests,Weeds,Weed Community,Negative,dependent on other factors,NA,NA,NA,NA
680,Nutrient Amendment,Pests,Weeds,Weed Community,Negative,dependent on other factors,NA,NA,NA,NA
357,Continuous Cover,Pests,Weeds,Weed Community Biomass,Negative,assumed societal harm,NA,NA,NA,NA
681,Nutrient Amendment,Pests,Weeds,Weed Community Biomass,Negative,assumed societal harm,NA,NA,NA,NA
358,Continuous Cover,Pests,Weeds,Weed Community Control,Negative,assumed societal benefit,NA,NA,NA,NA
682,Nutrient Amendment,Pests,Weeds,Weed Community Control,Negative,assumed societal benefit,NA,NA,NA,NA
359,Continuous Cover,Pests,Weeds,Weed Community Diversity,Negative,dependent on other factors,NA,NA,NA,NA
360,Tillage,Pests,Weeds,Weed Community Diversity,Negative,dependent on other factors,NA,NA,NA,NA
683,Nutrient Amendment,Pests,Weeds,Weed Community Diversity,Negative,dependent on other factors,NA,NA,NA,NA
361,Continuous Cover,Soil Nutrients,Ammonium,Early Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
684,Nutrient Amendment,Soil Nutrients,Ammonium,Early Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
362,Continuous Cover,Soil Nutrients,Ammonium,Late Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
685,Nutrient Amendment,Soil Nutrients,Ammonium,Late Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
363,Continuous Cover,Soil Nutrients,Ammonium,Mid Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
686,Nutrient Amendment,Soil Nutrients,Ammonium,Mid Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
364,Continuous Cover,Soil Nutrients,Micro-nutrients,Calcium,Positive,assumed societal benefit,NA,NA,NA,NA
365,Tillage,Soil Nutrients,Micro-nutrients,Calcium,Positive,assumed societal benefit,NA,NA,NA,NA
463,Nutrient Amendment,Soil Nutrients,Micro-nutrients,Calcium,Positive,assumed societal benefit,NA,NA,NA,NA
366,Continuous Cover,Soil Nutrients,Micro-nutrients,Magnesium,Positive,assumed societal benefit,NA,NA,NA,NA
367,Tillage,Soil Nutrients,Micro-nutrients,Magnesium,Positive,assumed societal benefit,NA,NA,NA,NA
464,Nutrient Amendment,Soil Nutrients,Micro-nutrients,Magnesium,Positive,assumed societal benefit,NA,NA,NA,NA
368,Continuous Cover,Soil Nutrients,Micro-nutrients,Misc. Micro-Nutrients,Positive,assumed societal benefit,NA,NA,NA,NA
369,Tillage,Soil Nutrients,Micro-nutrients,Misc. Micro-Nutrients,Positive,assumed societal benefit,NA,NA,NA,NA
687,Nutrient Amendment,Soil Nutrients,Micro-nutrients,Misc. Micro-Nutrients,Positive,assumed societal benefit,NA,NA,NA,NA
688,Nutrient Amendment,Soil Nutrients,Micro-nutrients,Misc. Micro-Nutrients,Positive,assumed societal benefit,NA,NA,NA,NA
370,Continuous Cover,Soil Nutrients,Nitrate,Early Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
689,Nutrient Amendment,Soil Nutrients,Nitrate,Early Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
371,Continuous Cover,Soil Nutrients,Nitrate,Late Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
690,Nutrient Amendment,Soil Nutrients,Nitrate,Late Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
372,Continuous Cover,Soil Nutrients,Nitrate,Mid Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
691,Nutrient Amendment,Soil Nutrients,Nitrate,Mid Season,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
373,Continuous Cover,Soil Nutrients,Nitrogen,Ammonium,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
374,Tillage,Soil Nutrients,Nitrogen,Ammonium,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
454,Nutrient Amendment,Soil Nutrients,Nitrogen,Ammonium,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
375,Continuous Cover,Soil Nutrients,Nitrogen,C To N Ratio,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
376,Tillage,Soil Nutrients,Nitrogen,C To N Ratio,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
432,Nutrient Amendment,Soil Nutrients,Nitrogen,C To N Ratio,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
433,Nutrient Amendment,Soil Nutrients,Nitrogen,C To N Ratio,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
377,Continuous Cover,Soil Nutrients,Nitrogen,Crop Derived N,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
378,Tillage,Soil Nutrients,Nitrogen,Crop Derived N,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
692,Nutrient Amendment,Soil Nutrients,Nitrogen,Crop Derived N,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
379,Continuous Cover,Soil Nutrients,Nitrogen,N Content Of Soil Organic Matter,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
380,Tillage,Soil Nutrients,Nitrogen,N Content Of Soil Organic Matter,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
693,Nutrient Amendment,Soil Nutrients,Nitrogen,N Content Of Soil Organic Matter,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
381,Continuous Cover,Soil Nutrients,Nitrogen,Nitrate,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
382,Tillage,Soil Nutrients,Nitrogen,Nitrate,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
453,Nutrient Amendment,Soil Nutrients,Nitrogen,Nitrate,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
383,Continuous Cover,Soil Nutrients,Nitrogen,Nitrogen Losses,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
694,Nutrient Amendment,Soil Nutrients,Nitrogen,Nitrogen Losses,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
384,Continuous Cover,Soil Nutrients,Nitrogen,Total Nitrogen,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
385,Tillage,Soil Nutrients,Nitrogen,Total Nitrogen,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
430,Nutrient Amendment,Soil Nutrients,Nitrogen,Total Nitrogen,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
386,Continuous Cover,Soil Nutrients,Phosphorus & Potassium,Phosphorus,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
387,Tillage,Soil Nutrients,Phosphorus & Potassium,Phosphorus,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
468,Nutrient Amendment,Soil Nutrients,Phosphorus & Potassium,Phosphorus,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
388,Continuous Cover,Soil Nutrients,Phosphorus & Potassium,Phosphorus Losses,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
695,Nutrient Amendment,Soil Nutrients,Phosphorus & Potassium,Phosphorus Losses,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
389,Continuous Cover,Soil Nutrients,Phosphorus & Potassium,Potassium,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
390,Tillage,Soil Nutrients,Phosphorus & Potassium,Potassium,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
465,Nutrient Amendment,Soil Nutrients,Phosphorus & Potassium,Potassium,Dependent on other factors,assumed societal benefit,NA,NA,NA,NA
466,Nutrient Amendment,Soil Nutrients,Phosphorus & Potassium,Potassium,Dependent on other factors,dependent on other factors,NA,NA,NA,NA
391,Continuous Cover,Soil Nutrients,Phosphorus & Potassium,Potassium Losses,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
696,Nutrient Amendment,Soil Nutrients,Phosphorus & Potassium,Potassium Losses,Dependent on other factors,assumed societal harm,NA,NA,NA,NA
392,Continuous Cover,Water Quality,Agrochemical Runoff,Pesticides,Negative,assumed societal harm,NA,NA,NA,NA
393,Tillage,Water Quality,Agrochemical Runoff,Pesticides,Negative,assumed societal harm,NA,NA,NA,NA
697,Nutrient Amendment,Water Quality,Agrochemical Runoff,Pesticides,Negative,assumed societal harm,NA,NA,NA,NA
394,Continuous Cover,Water Quality,Drainage,Drainage,Positive,assumed societal benefit,NA,NA,NA,NA
698,Nutrient Amendment,Water Quality,Drainage,Drainage,Positive,assumed societal benefit,NA,NA,NA,NA
395,Continuous Cover,Water Quality,Flow Quantity,Water,Negative,assumed societal harm,NA,NA,NA,NA
396,Tillage,Water Quality,Flow Quantity,Water,Negative,assumed societal harm,NA,NA,NA,NA
699,Nutrient Amendment,Water Quality,Flow Quantity,Water,Negative,assumed societal harm,NA,NA,NA,NA
397,Continuous Cover,Water Quality,Flow Quantity,Water Discharge,Negative,assumed societal harm,NA,NA,NA,NA
