"","...1","review","paper_id","duration","rv_year","loc_multi_results","group_level1","group_level2","group_level3","rv","rv_timeseries","rv_depth","sample_depth","rv_units","stat_test","stat_type","trt1","trt1_int","trt1_int2","trt1_value","trt2","trt2_int","trt2_int2","trt2_value","significance","finelevel_group","trt1_name","trt1_details","trt2_name","trt2_details","tillage_1","tillage_2","trt_compare","crop_type","norm_interp2","norm_interp3","group_level1_alt","group_level2_alt","norm_interp2_alt","norm_interp3_alt","per_change","grouping","normative_effect"
"1",1,"Tillage",6000,"2017-2","1",1,"Crop Yields","Yields","Maize","maize grain yield, long season, no manure, high fertility site","No","NA","NA","ton/ha","Tukey","mean",0,"NA","NA",3.93,1,"NA","NA",5.89,"0.05","HH15cm_NT","Conventional Tillage","hand hoe, 15 cm depth","No Tillage","no tillage",0,16,"Conventional Tillage - No Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",49.87,"Crop Yields | Yields | Maize","Positive | assumed societal benefit"
"1046",1041,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Black jack (Bidens pilosa) weed density","No","NA","NA","# plants/m^2^","LSD","mean",1,"NA","NA",22,2,"NA","NA",20,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-9.09,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1047",1042,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Woodsorrel (Oxalis latifolia) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",28,1,"NA","NA",17,"ns","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-39.29,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1048",1043,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Woodsorrel (Oxalis latifolia) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",28,2,"NA","NA",25,"ns","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-10.71,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1049",1044,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Woodsorrel (Oxalis latifolia) weed density","No","NA","NA","# plants/m^2^","LSD","mean",1,"NA","NA",17,2,"NA","NA",25,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",47.06,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1050",1045,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Mexican clover (Richardia brasiliensis) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",18,1,"NA","NA",4,"0.05","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-77.78,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1051",1046,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Mexican clover (Richardia brasiliensis) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",18,2,"NA","NA",6,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-66.67,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1052",1047,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Mexican clover (Richardia brasiliensis) weed density","No","NA","NA","# plants/m^2^","LSD","mean",1,"NA","NA",4,2,"NA","NA",6,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",50,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1053",1048,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Double thorn (Oxygonum sinuatum) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",13,1,"NA","NA",10,"ns","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-23.08,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1054",1049,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Double thorn (Oxygonum sinuatum) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",13,2,"NA","NA",5,"ns","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-61.54,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1055",1050,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","Double thorn (Oxygonum sinuatum) weed density","No","NA","NA","# plants/m^2^","LSD","mean",1,"NA","NA",10,2,"NA","NA",5,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-50,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1056",1051,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","African marigold (Tagetes erecta) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",11,1,"NA","NA",10,"ns","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-9.09,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1057",1052,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","African marigold (Tagetes erecta) weed density","No","NA","NA","# plants/m^2^","LSD","mean",0,"NA","NA",11,2,"NA","NA",5,"ns","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-54.55,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1058",1053,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Broadleaves","African marigold (Tagetes erecta) weed density","No","NA","NA","# plants/m^2^","LSD","mean",1,"NA","NA",10,2,"NA","NA",5,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","assumed societal harm",NA,"NA","NA","NA",-50,"Pests | Weeds | Broadleaves","Negative | assumed societal harm"
"1059",1054,"Tillage",6015,"2011-3","2",1,"Pests","Weeds","Weed Community Diversity","Shannon diversity index of weed community","No","NA","NA","H","LSD","mean",0,"NA","NA",0.77,1,"NA","NA",0.57,"0.05","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Negative","dependent on other factors",NA,"NA","NA","NA",-25.97,"Pests | Weeds | Weed Community Diversity","Negative | dependent on other factors"
"1060",1055,"Tillage",6015,"2011-3","2",1,"Pests","Weeds","Weed Community Diversity","Shannon diversity of weed community","No","NA","NA","H","LSD","mean",0,"NA","NA",0.77,2,"NA","NA",0.66,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Negative","dependent on other factors",NA,"NA","NA","NA",-14.29,"Pests | Weeds | Weed Community Diversity","Negative | dependent on other factors"
"1061",1056,"Tillage",6015,"2011-3","2",1,"Pests","Weeds","Weed Community Diversity","Shannon diversity of weed community","No","NA","NA","H","LSD","mean",1,"NA","NA",0.57,2,"NA","NA",0.66,"0.05","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","dependent on other factors",NA,"NA","NA","NA",15.79,"Pests | Weeds | Weed Community Diversity","Negative | dependent on other factors"
"1062",1057,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Weed Community Diversity","Shannon diversity index of weed community","No","NA","NA","H","LSD","mean",0,"NA","NA",0.72,1,"NA","NA",0.68,"ns","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Negative","dependent on other factors",NA,"NA","NA","NA",-5.56,"Pests | Weeds | Weed Community Diversity","Negative | dependent on other factors"
"1063",1058,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Weed Community Diversity","Shannon diversity of weed community","No","NA","NA","H","LSD","mean",0,"NA","NA",0.72,2,"NA","NA",0.58,"ns","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Negative","dependent on other factors",NA,"NA","NA","NA",-19.44,"Pests | Weeds | Weed Community Diversity","Negative | dependent on other factors"
"1064",1059,"Tillage",6015,"2011-3","3",1,"Pests","Weeds","Weed Community Diversity","Shannon diversity of weed community","No","NA","NA","H","LSD","mean",1,"NA","NA",0.68,2,"NA","NA",0.58,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Negative","dependent on other factors",NA,"NA","NA","NA",-14.71,"Pests | Weeds | Weed Community Diversity","Negative | dependent on other factors"
"1065",1060,"Tillage",6025,"2003-5","1;2;3;4;5",1,"Economics","Income","Gross Margin","average seasonal gross margin, continuous maize, crop residue","No","NA","NA","US$/ha","NA","mean",0,"3","4",322,1,"3","4",289,"NA","conv_reduced","Conventional Tillage","conventional tillage, continuous maize, crop residue","Conservation Tillage","reduced tillage, continuous maize, crop residue",1,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-10.25,"Economics | Income | Gross Margin","Positive | assumed societal benefit"
"1066",1061,"Tillage",6025,"2003-5","1;2;3;4;5",1,"Economics","Income","Gross Margin","average seasonal gross margin, continuous maize, no crop residue","No","NA","NA","US$/ha","NA","mean",0,"2","4",322,1,"2","4",247,"NA","conv_reduced","Conventional Tillage","conventional tillage, continuous maize, no crop residue","Conservation Tillage","reduced tillage, continuous maize, no crop residue",1,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-23.29,"Economics | Income | Gross Margin","Positive | assumed societal benefit"
"1067",1062,"Tillage",6025,"2003-5","1;2;3;4;5",1,"Economics","Income","Gross Margin","average seasonal gross margin, maize-soybean intercrop, crop residue","No","NA","NA","US$/ha","NA","mean",0,"3","6",401,1,"3","6",374,"NA","conv_reduced","Conventional Tillage","conventional tillage, maize-soybean intercrop, crop residue","Conservation Tillage","reduced tillage, maize-soybean intercrop, crop residue",1,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-6.73,"Economics | Income | Gross Margin","Positive | assumed societal benefit"
"1068",1063,"Tillage",6025,"2003-5","1;2;3;4;5",1,"Economics","Income","Gross Margin","average seasonal gross margin, maize-soybean intercrop, no crop residue","No","NA","NA","US$/ha","NA","mean",0,"2","6",435,1,"2","6",344,"NA","conv_reduced","Conventional Tillage","conventional tillage, maize-soybean intercrop, no crop residue","Conservation Tillage","reduced tillage, maize-soybean intercrop, no crop residue",1,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-20.92,"Economics | Income | Gross Margin","Positive | assumed societal benefit"
"1069",1064,"Tillage",6025,"2003-5","1;2;3;4;5",1,"Economics","Income","Gross Margin","average seasonal gross margin, maize-soybean rotation, crop residue","No","NA","NA","US$/ha","NA","mean",0,"3","5",359,1,"3","5",305,"NA","conv_reduced","Conventional Tillage","conventional tillage, maize-soybean rotation, crop residue","Conservation Tillage","reduced tillage, maize-soybean rotation, crop residue",1,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-15.04,"Economics | Income | Gross Margin","Positive | assumed societal benefit"
"1070",1065,"Tillage",6025,"2003-5","1;2;3;4;5",1,"Economics","Income","Gross Margin","average seasonal gross margin, maize-soybean rotation, no crop residue","No","NA","NA","US$/ha","NA","mean",0,"2","5",384,1,"2","5",337,"NA","conv_reduced","Conventional Tillage","conventional tillage, maize-soybean rotation, no crop residue","Conservation Tillage","reduced tillage, maize-soybean rotation, no crop residue",1,6.5,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-12.24,"Economics | Income | Gross Margin","Positive | assumed societal benefit"
"1071",1066,"Tillage",6015,"2011-3","1",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",0,"NA","NA",126.1,1,"NA","NA",88.3,"0.05","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-29.98,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1072",1067,"Tillage",6015,"2011-3","1",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",0,"NA","NA",126.1,2,"NA","NA",89.7,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-28.87,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1073",1068,"Tillage",6015,"2011-3","1",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",1,"NA","NA",88.3,2,"NA","NA",89.7,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",1.59,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1074",1069,"Tillage",6015,"2011-3","2",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",0,"NA","NA",77.5,1,"NA","NA",74,"ns","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-4.52,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1075",1070,"Tillage",6015,"2011-3","2",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",0,"NA","NA",77.5,2,"NA","NA",75.3,"ns","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-2.84,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1076",1071,"Tillage",6015,"2011-3","2",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",1,"NA","NA",74,2,"NA","NA",75.3,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",1.76,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1077",1072,"Tillage",6015,"2011-3","3",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",0,"NA","NA",221.7,1,"NA","NA",205.5,"ns","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-7.31,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1078",1073,"Tillage",6015,"2011-3","3",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",0,"NA","NA",221.7,2,"NA","NA",201.2,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-9.25,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1079",1074,"Tillage",6015,"2011-3","3",1,"Crop Yields","Crop Growth","Plant Height","maize height","No","NA","NA","cm","LSD","mean",1,"NA","NA",205.5,2,"NA","NA",201.2,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-2.09,"Crop Yields | Crop Growth | Plant Height","Positive | assumed societal benefit"
"1080",1075,"Tillage",6015,"2011-3","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",0,"NA","NA",3.7,1,"NA","NA",2.5,"0.05","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-32.43,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1081",1076,"Tillage",6015,"2011-3","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",0,"NA","NA",3.7,2,"NA","NA",2.8,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-24.32,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1082",1077,"Tillage",6015,"2011-3","1",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",1,"NA","NA",2.5,2,"NA","NA",2.8,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",12,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1083",1078,"Tillage",6015,"2011-3","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",0,"NA","NA",2,1,"NA","NA",1.7,"0.05","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-15,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1084",1079,"Tillage",6015,"2011-3","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",0,"NA","NA",2,2,"NA","NA",1.9,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-5,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1085",1080,"Tillage",6015,"2011-3","2",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",1,"NA","NA",1.7,2,"NA","NA",1.9,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",11.76,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1086",1081,"Tillage",6015,"2011-3","3",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",0,"NA","NA",3.8,1,"NA","NA",3.2,"0.05","conv_minimum","Conventional Tillage","conventional tillage, 18-20 cm depth","Conservation Tillage","minimum tillage, 5 cm depth",5.5,6.5,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-15.79,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1087",1082,"Tillage",6015,"2011-3","3",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",0,"NA","NA",3.8,2,"NA","NA",3.4,"0.05","conv_NT","Conventional Tillage","conventional tillage, 18-20 cm depth","No Tillage","no-tillage",5.5,16,"Conventional Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-10.53,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1088",1083,"Tillage",6015,"2011-3","3",1,"Crop Yields","Crop Growth","Aboveground Biomass","maize leaf area index","No","NA","NA","LAI","LSD","mean",1,"NA","NA",3.2,2,"NA","NA",3.4,"ns","min_NT","Conservation Tillage","minimum tillage, 5 cm depth","No Tillage","no-tillage",6.5,16,"Conservation Tillage - No Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",6.25,"Crop Yields | Crop Growth | Aboveground Biomass","Positive | assumed societal benefit"
"1089",1084,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","large aggregate fractions (>2000 micrometers) of termite sheetings and mound soil, continuous maize","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",1.2,1,"NA","NA",5.4,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",350,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1090",1085,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","large aggregate fractions (>2000 micrometers) of termite sheetings and mound soil, soybean-maize intercropping","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",6.5,1,"NA","NA",6.7,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",3.08,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1091",1086,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","large aggregate fractions (>2000 micrometers) of termite sheetings and mound soil, soybean-maize rotation","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",3.2,1,"NA","NA",5.7,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",78.12,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1092",1087,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","small aggregate fractions (250-2000 micrometers) of termite sheetings and mound soil, continuous maize","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",43.2,1,"NA","NA",47.8,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",10.65,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1093",1088,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","small aggregate fractions (250-2000 micrometers) of termite sheetings and mound soil, soybean-maize intercropping","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",49.9,1,"NA","NA",55.5,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",11.22,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1094",1089,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","small aggregate fractions (250-2000 micrometers) of termite sheetings and mound soil, soybean-maize rotation","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",43.5,1,"NA","NA",52.3,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",20.23,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1095",1090,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","microaggregate fractions (53-250 micrometers) of termite sheetings and mound soil, continuous maize","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",44.5,1,"NA","NA",36.6,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-17.75,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
"1096",1091,"Tillage",6016,"2003-5","5",1,"Other Soil Properties","Soil Structure","Aggregate Size","microaggregate fractions (53-250 micrometers) of termite sheetings and mound soil, soybean-maize intercropping","No","0-15 cm","0-30 cm","g/100 g soil","NA","mean",0,"NA","NA",35.1,1,"NA","NA",29.6,"NA","conv_reduced","Conventional Tillage","conventional tillage, 10-15 cm depth","Conservation Tillage","reduced tillage, 3 cm depth",5.5,11,"Conventional Tillage - Conservation Tillage","Bean;Cereal","Positive","assumed societal benefit",NA,"NA","NA","NA",-15.67,"Other Soil Properties | Soil Structure | Aggregate Size","Positive | assumed societal benefit"
